pk_name, mk_path, license, version
dnsmasq-prpl, feeds/feed_opensource/base/network/services/dnsmasq-prpl/Makefile, GPL-2.0, gen_2.90_v0.2.3-1
ppp-prpl, feeds/feed_opensource/base/network/services/ppp-prpl/Makefile, BSD-4-Clause, gen_2.4.9_v0.1.5-4
umdns-prpl, feeds/feed_opensource/base/network/services/umdns-prpl/Makefile, LGPL-2.1, gen_d45c443_v0.2.3-5
libwebsockets4-openssl, feeds/feed_opensource/packages/libs/libwebsockets4/Makefile, MIT, 4.3.2-2
libwebsockets4-mbedtls, feeds/feed_opensource/packages/libs/libwebsockets4/Makefile, MIT, 4.3.2-2
libwebsockets4-full, feeds/feed_opensource/packages/libs/libwebsockets4/Makefile, MIT, 4.3.2-2
chrony-prpl, feeds/feed_opensource/packages/net/chrony-prpl/Makefile, GPL-2.0, gen_4.4_v0.1.0-1
miniupnpd-prpl, feeds/feed_opensource/packages/net/miniupnpd-prpl/Makefile, BSD-3-Clause, gen_miniupnpd_2_3_3_v0.3.9-1
unbound-daemon-prpl, feeds/feed_opensource/packages/net/unbound-prpl/Makefile, BSD-3-Clause, gen_1.18.0_v0.1.3-1
libunbound-prpl, feeds/feed_opensource/packages/net/unbound-prpl/Makefile, BSD-3-Clause, gen_1.18.0_v0.1.3-1
lxc, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-common, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-hooks, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-configs, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-templates, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
liblxc, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-init, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-auto, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-unprivileged, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-attach, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-autostart, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-cgroup, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-copy, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-config, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-console, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-create, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-destroy, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-device, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-execute, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-freeze, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-info, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-monitor, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-snapshot, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-start, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-stop, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-unfreeze, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-unshare, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
