pk_name, mk_path, license, version
timingila-cthulhu, feeds/feed_prpl/lcm/mods/timingila-cthulhu/Makefile, BSD-2-Clause-Patent, v2.0.3-1
timingila-rlyeh, feeds/feed_prpl/lcm/mods/timingila-rlyeh/Makefile, BSD-2-Clause-Patent, v1.0.5-1
cthulhu-dhcpc, feeds/feed_prpl/lcm/plugins/cthulhu/cthulhu-dhcpc/Makefile, BSD-2-Clause-Patent, v1.2.3-1
cthulhu-networking, feeds/feed_prpl/lcm/plugins/cthulhu/cthulhu-networking/Makefile, BSD-2-Clause-Patent, v0.1.5-1
fcgi, feeds/feed_prpl/libs/fcgi/Makefile, MIT, 2.4.2-1
fcgixx, feeds/feed_prpl/libs/fcgi/Makefile, MIT, 2.4.2-1
libpcp, feeds/feed_prpl/libs/libpcp/Makefile, BSD-2-Clause, 2022-02-22-1c783fb83516ebf10ebebd023a490255d35f34fd-1
libnetmodel, feeds/feed_prpl/netmodel/libs/libnetmodel/Makefile, BSD-2-Clause-Patent, v1.5.17-1
netmodel-bridge, feeds/feed_prpl/netmodel/libs/netmodel-bridge/Makefile, BSD-2-Clause-Patent, v1.0.3-1
netmodel-dhcpv4, feeds/feed_prpl/netmodel/libs/netmodel-dhcpv4/Makefile, BSD-2-Clause-Patent, v1.3.0-1
netmodel-dhcpv6, feeds/feed_prpl/netmodel/libs/netmodel-dhcpv6/Makefile, BSD-2-Clause-Patent, v1.3.0-1
netmodel-dslite, feeds/feed_prpl/netmodel/libs/netmodel-dslite/Makefile, BSD-2-Clause-Patent, v0.1.3-1
netmodel-ethernet, feeds/feed_prpl/netmodel/libs/netmodel-ethernet/Makefile, BSD-2-Clause-Patent, v1.0.3-1
netmodel-ip, feeds/feed_prpl/netmodel/libs/netmodel-ip/Makefile, BSD-2-Clause-Patent, v1.4.0-1
netmodel-iprouter, feeds/feed_prpl/netmodel/libs/netmodel-iprouter/Makefile, BSD-2-Clause-Patent, v0.3.0-1
netmodel-logical, feeds/feed_prpl/netmodel/libs/netmodel-logical/Makefile, BSD-2-Clause-Patent, v1.0.2-1
netmodel-netdev, feeds/feed_prpl/netmodel/libs/netmodel-netdev/Makefile, BSD-2-Clause-Patent, v1.0.4-1
netmodel-ppp, feeds/feed_prpl/netmodel/libs/netmodel-ppp/Makefile, BSD-2-Clause-Patent, v0.2.1-1
netmodel-radio, feeds/feed_prpl/netmodel/libs/netmodel-radio/Makefile, BSD-2-Clause-Patent, v0.1.2-1
netmodel-ssid, feeds/feed_prpl/netmodel/libs/netmodel-ssid/Makefile, BSD-2-Clause-Patent, v0.1.2-1
netmodel-vlan, feeds/feed_prpl/netmodel/libs/netmodel-vlan/Makefile, BSD-2-Clause-Patent, v1.0.1-1
netmodel-xpon, feeds/feed_prpl/netmodel/libs/netmodel-xpon/Makefile, BSD-2-Clause-Patent, v0.1.1-1
mod-netmodel, feeds/feed_prpl/netmodel/mods/mod-netmodel/Makefile, BSD-2-Clause-Patent, v0.5.2-1
netmodel, feeds/feed_prpl/netmodel/plugins/netmodel/Makefile, BSD-2-Clause-Patent, v2.15.7-1
netmodel-clients, feeds/feed_prpl/netmodel/plugins/netmodel-clients/Makefile, BSD-2-Clause-Patent, v0.2.0-1
libdhcpoptions, feeds/feed_prpl/network/libs/libdhcpoptions/Makefile, BSD-2-Clause-Patent, v0.6.0-1
libdiscoping, feeds/feed_prpl/network/libs/libdiscoping/Makefile, BSD-2-Clause-Patent, v0.10.0-1
libfiletransfer, feeds/feed_prpl/network/libs/libfiletransfer/Makefile, BSD-2-Clause-Patent, v1.3.0-1
libfwinterface, feeds/feed_prpl/network/libs/libfwinterface/Makefile, BSD-2-Clause-Patent, v1.5.0-1
libfwrules, feeds/feed_prpl/network/libs/libfwrules/Makefile, BSD-2-Clause-Patent, v2.1.0-1
libipat, feeds/feed_prpl/network/libs/libipat/Makefile, BSD-2-Clause-Patent, v1.5.0-1
libnetlink-utils, feeds/feed_prpl/network/libs/libnetlink-utils/Makefile, BSD-2-Clause-Patent, v0.0.9-1
libpacket-interception, feeds/feed_prpl/network/libs/libpacket-interception/Makefile, BSD-2-Clause-Patent, v1.0.1-1
libqoscommon, feeds/feed_prpl/network/libs/libqoscommon/Makefile, BSD-2-Clause-Patent, v0.2.1-1
libqosmod, feeds/feed_prpl/network/libs/libqosmod/Makefile, BSD-2-Clause-Patent, v0.1.6-1
libqosmodule, feeds/feed_prpl/network/libs/libqosmodule/Makefile, BSD-2-Clause-Patent, v1.0.1-1
libqosnode, feeds/feed_prpl/network/libs/libqosnode/Makefile, BSD-2-Clause-Patent, v1.3.0-1
mod-autosensing, feeds/feed_prpl/network/mods/mod-autosensing/Makefile, BSD-2-Clause-Patent, v0.2.1-1
mod-dhcpv4c, feeds/feed_prpl/network/mods/mod-dhcpv4c/Makefile, BSD-2-Clause-Patent, v0.13.5-1
mod-dmext, feeds/feed_prpl/network/mods/mod-dmext/Makefile, BSD-2-Clause-Patent, v0.6.0-1
mod-dmproxy, feeds/feed_prpl/network/mods/mod-dmproxy/Makefile, BSD-2-Clause-Patent, v1.4.1-1
mod-dmstats, feeds/feed_prpl/network/mods/mod-dmstats/Makefile, BSD-2-Clause-Patent, v0.1.3-1
mod-dns-unbound, feeds/feed_prpl/network/mods/mod-dns-unbound/Makefile, BSD-2-Clause-Patent, v1.6.1-1
mod-fw-amx, feeds/feed_prpl/network/mods/mod-fw-amx/Makefile, BSD-2-Clause-Patent, v0.3.3-1
mod-fw-host, feeds/feed_prpl/network/mods/mod-fw-host/Makefile, BSD-2-Clause-Patent, v0.1.3-1
mod-httpaccess-lighttpd, feeds/feed_prpl/network/mods/mod-httpaccess-lighttpd/Makefile, BSD-2-Clause-Patent, v0.1.8-1
mod-logical-api, feeds/feed_prpl/network/mods/mod-logical-api/Makefile, BSD-2-Clause-Patent, v0.6.4-1
mod-pcm-svc, feeds/feed_prpl/network/mods/mod-pcm-svc/Makefile, BSD-2-Clause-Patent, v0.9.0-1
mod-ppp-daemon, feeds/feed_prpl/network/mods/mod-ppp-daemon/Makefile, BSD-2-Clause-Patent, v0.5.5-1
mod-qos-tc, feeds/feed_prpl/network/mods/mod-qos-tc/Makefile, BSD-2-Clause-Patent, v2.3.0-1
mod-ra-radvd, feeds/feed_prpl/network/mods/mod-ra-radvd/Makefile, BSD-2-Clause-Patent, v0.4.1-1
mod-sahtrace, feeds/feed_prpl/network/mods/mod-sahtrace/Makefile, BSD-2-Clause-Patent, v1.1.0-1
mod-vlan-ioctl, feeds/feed_prpl/network/mods/mod-vlan-ioctl/Makefile, BSD-2-Clause-Patent, v0.1.7-1
mod-vlan-uci, feeds/feed_prpl/network/mods/mod-vlan-uci/Makefile, BSD-2-Clause-Patent, v0.1.4-1
mod-xpon-prpl, feeds/feed_prpl/network/mods/mod-xpon-prpl/Makefile, BSD-2-Clause-Patent, v1.0.5-1
mod-xpon-prpl-mock, feeds/feed_prpl/network/mods/mod-xpon-prpl/Makefile, BSD-2-Clause-Patent, v1.0.5-1
radvd, feeds/feed_prpl/network/opensource/radvd/Makefile, , 2.19-2
radvdump, feeds/feed_prpl/network/opensource/radvd/Makefile, , 2.19-2
amx-processmonitor, feeds/feed_prpl/network/plugins/amx-processmonitor/Makefile, BSD-2-Clause-Patent, v0.2.0-1
deviceinfo-manager, feeds/feed_prpl/network/plugins/deviceinfo-manager/Makefile, BSD-2-Clause-Patent, v2.33.11-1
dhcpv4-manager, feeds/feed_prpl/network/plugins/dhcpv4-manager/Makefile, BSD-2-Clause-Patent, v2.7.0-1
dhcpv6s-manager, feeds/feed_prpl/network/plugins/dhcpv6s-manager/Makefile, BSD-2-Clause-Patent, v0.16.1-1
ethernet-manager, feeds/feed_prpl/network/plugins/ethernet-manager/Makefile, BSD-2-Clause-Patent, v1.20.1-1
hosts-manager, feeds/feed_prpl/network/plugins/hosts-manager/Makefile, BSD-2-Clause-Patent, v0.3.3-1
ip-manager, feeds/feed_prpl/network/plugins/ip-manager/Makefile, BSD-2-Clause-Patent, v1.41.5-1
moca-manager, feeds/feed_prpl/network/plugins/moca-manager/Makefile, BSD-2-Clause-Patent, v0.3.4-1
multisettings, feeds/feed_prpl/network/plugins/multisettings/Makefile, BSD-2-Clause-Patent, v0.9.1-1
netdev-plugin, feeds/feed_prpl/network/plugins/netdev-plugin/Makefile, BSD-2-Clause-Patent, v1.11.2-1
packet-interception, feeds/feed_prpl/network/plugins/packet-interception/Makefile, BSD-2-Clause-Patent, v0.0.14-1
pcm-manager, feeds/feed_prpl/network/plugins/pcm-manager/Makefile, BSD-2-Clause-Patent, v0.16.1-1
routing-manager, feeds/feed_prpl/network/plugins/routing-manager/Makefile, BSD-2-Clause-Patent, v1.16.2-1
ssh-server, feeds/feed_prpl/network/plugins/ssh-server/Makefile, BSD-2-Clause-Patent, v0.5.4-1
time-manager, feeds/feed_prpl/network/plugins/time-manager/Makefile, BSD-2-Clause-Patent, v2.5.0-1
tr181-bridging, feeds/feed_prpl/network/plugins/tr181-bridging/Makefile, BSD-2-Clause-Patent, v2.3.4-1
tr181-button, feeds/feed_prpl/network/plugins/tr181-button/Makefile, BSD-2-Clause-Patent, v0.0.3-1
tr181-captiveportal, feeds/feed_prpl/network/plugins/tr181-captiveportal/Makefile, BSD-2-Clause-Patent, v0.5.1-1
tr181-device, feeds/feed_prpl/network/plugins/tr181-device/Makefile, BSD-2-Clause-Patent, v0.28.0-1
tr181-dhcpv4client, feeds/feed_prpl/network/plugins/tr181-dhcpv4client/Makefile, BSD-2-Clause-Patent, v1.24.3-1
tr181-dhcpv6client, feeds/feed_prpl/network/plugins/tr181-dhcpv6client/Makefile, BSD-2-Clause-Patent, v1.2.1-1
tr181-dns, feeds/feed_prpl/network/plugins/tr181-dns/Makefile, BSD-2-Clause-Patent, v2.7.1-1
tr181-dnssd, feeds/feed_prpl/network/plugins/tr181-dnssd/Makefile, BSD-2-Clause-Patent, v0.4.10-1
